solution;cost;instance;date;pop_size;offspring_size;pselection_type;crossover_type;mutation_type;mutation_prob;selection_strategy;gselection_type;seed;move;max_evaluations;max_iterations;max_time;initial_solution
7 10 9 8 0 1 13 2 3 5 4 11 6 12 7;3559;instances/burma14.tsp;2021-10-08 22:38:21.450971;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743501416;SWAP;1000;20;3.0;DETERMINISTIC
4 5 11 6 12 13 7 0 8 10 9 1 2 3 4;3580;instances/burma14.tsp;2021-10-08 22:38:26.922132;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743506888;SWAP;1000;20;3.0;DETERMINISTIC
12 6 4 3 13 5 11 2 1 7 0 10 8 9 12;3869;instances/burma14.tsp;2021-10-08 22:38:27.667994;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743507632;SWAP;1000;20;3.0;DETERMINISTIC
3 4 11 5 6 12 10 8 9 0 1 7 13 2 3;3431;instances/burma14.tsp;2021-10-08 22:43:53.862837;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743833829;SWAP;1000;20;3.0;DETERMINISTIC
3 5 11 4 6 12 7 0 1 9 8 10 13 2 3;3598;instances/burma14.tsp;2021-10-08 22:44:07.680959;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743847647;SWAP;1000;20;3.0;DETERMINISTIC
10 9 8 7 12 6 11 4 5 3 2 13 1 0 10;3577;instances/burma14.tsp;2021-10-08 22:44:13.532495;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743853498;SWAP;1000;20;3.0;DETERMINISTIC
12 6 11 5 3 4 13 2 1 0 7 8 9 10 12;3617;instances/burma14.tsp;2021-10-08 22:44:20.159427;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743860124;SWAP;1000;20;3.0;DETERMINISTIC
1 0 9 8 10 7 13 12 6 11 5 4 3 2 1;3487;instances/burma14.tsp;2021-10-08 22:44:21.170900;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743861135;SWAP;1000;20;3.0;DETERMINISTIC
10 7 13 12 6 5 11 4 3 2 1 0 9 8 10;3510;instances/burma14.tsp;2021-10-08 22:44:26.714782;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743866682;SWAP;1000;20;3.0;DETERMINISTIC
10 12 13 6 5 4 11 3 2 1 0 7 9 8 10;3698;instances/burma14.tsp;2021-10-08 22:44:32.740922;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743872702;SWAP;1000;20;3.0;DETERMINISTIC
10 6 13 2 3 4 5 11 12 7 1 0 9 8 10;3670;instances/burma14.tsp;2021-10-08 22:44:33.931853;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743873896;SWAP;1000;20;3.0;DETERMINISTIC
1 2 3 4 11 5 6 13 12 10 8 9 0 7 1;3559;instances/burma14.tsp;2021-10-08 22:44:49.457945;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743889423;SWAP;1000;20;3.0;DETERMINISTIC
5 4 3 2 1 0 9 8 10 7 12 13 6 11 5;3513;instances/burma14.tsp;2021-10-08 22:44:57.159374;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633743897126;SWAP;1000;20;3.0;DETERMINISTIC
10 8 12 6 11 5 4 2 3 13 1 0 7 9 10;3773;instances/burma14.tsp;2021-10-08 22:47:31.087483;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633744051048;SWAP;1000;20;3.0;DETERMINISTIC
4 6 12 9 8 10 7 0 1 2 3 13 5 11 4;3643;instances/burma14.tsp;2021-10-08 22:49:31.890844;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633744171854;SWAP;1000;20;3.0;DETERMINISTIC
13 2 1 0 10 8 9 7 12 6 5 4 3 11 13;3604;instances/burma14.tsp;2021-10-08 22:49:32.567780;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633744172532;SWAP;1000;20;3.0;DETERMINISTIC
4 3 2 13 7 1 10 8 9 0 12 6 11 5 4;3592;instances/burma14.tsp;2021-10-08 22:49:33.214865;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633744173180;SWAP;1000;20;3.0;DETERMINISTIC
13 1 0 7 9 8 10 12 11 5 6 4 3 2 13;3606;instances/burma14.tsp;2021-10-08 22:49:35.032600;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1633744174995;SWAP;1000;20;3.0;DETERMINISTIC
